"site","covariate","asmd","passed"
"674","dem",-0.024,TRUE
"674","slope",0.365,FALSE
"674","dist_builtup",0.017,TRUE
"674","mean_distance_to_forest_edge",-0.063,TRUE
"674","mean_ndvi",0.109,TRUE
"1477","dem",0.076,TRUE
"1477","slope",-0.009,TRUE
"1477","dist_builtup",0.249,TRUE
"1477","mean_distance_to_forest_edge",0.11,TRUE
"1477","mean_ndvi",0.115,TRUE
"1498","dem",0.36,FALSE
"1498","slope",0.044,TRUE
"1498","dist_builtup",-0.242,TRUE
"1498","mean_distance_to_forest_edge",-0.21,TRUE
"1498","mean_ndvi",-0.012,TRUE
"2403","dem",-0.059,TRUE
"2403","slope",0.025,TRUE
"2403","dist_builtup",0.156,TRUE
"2403","mean_distance_to_forest_edge",0.113,TRUE
"2403","mean_ndvi",0.213,TRUE
